source,target
1096178277356654592,73355170
23360923,73355170
406452048,73355170
966306163900940288,73355170
2700030437,73355170
390698642,73355170
245734424,73355170
94429051,73355170
613457294,73355170
1104540644217942016,73355170
1051115788814479360,73355170
229298953,73355170
73355170,1229335795
73355170,210855023
73355170,228181658
73355170,23360923
73355170,2700030437
73355170,2893401827
73355170,3088521195
73355170,378727498
73355170,390698642
73355170,407156159
73355170,4877558602
73355170,79737372
73355170,90151056
73355170,94429051
73355170,971483290883457024
1347169746299580416,73355170
229513361,73355170
160022368,73355170
198189585,73355170
193111094,73355170
270866891,73355170
1678611,73355170
601062343,73355170
1055465459678658560,73355170
376398712,73355170
90151056,73355170
739168788650831872,73355170
476241650,73355170
79737372,73355170
208160725,73355170
973258610909343744,73355170
4877558602,73355170
971483290883457024,73355170
378727498,73355170
299690665,73355170
1293579312633913344,73355170
394931805,73355170
408012817,73355170
3953722559,73355170
3088521195,73355170
228181658,73355170
177755887,73355170
3241813462,73355170
207136602,73355170
1950212780,73355170
4843678174,73355170
407156159,73355170
2644788172,73355170
412215463,73355170
1229335795,73355170
36027330,73355170
268308339,73355170
210855023,73355170
565637184,73355170
222759375,73355170
901000346889310208,73355170
